"ПН","08:30-09:50","1-223","Мови програмування","","Ковальський І.","2-15"
"ПН","10:00-11:20","3-408","Англійська мова-1","А32","Соломашенко Н.","2-14"
"ПН","10:00-11:20","6-3","Англійська мова-1","А33","Буреніна Т. Г.","2-14"
"ПН","10:00-11:20","3-309","Англійська мова-1","А34","Сорокіна Т.","2-14"
"ПН","10:00-11:20","8-13","Англійська мова-1","А35","","2-14"
"ПН","10:00-11:20","8-10","Англійська мова-1","А36","Гриців Т. С.","2-14"
"ПН","11:40-13:00","1-306","Мови програмування","1","Бучко О.","2-15"
"ПН","11:40-13:00","1-307","Мови програмування","4","Вовк Н.","2-15"
"ПН","15:00-16:20","1-306","Мови програмування","3","Бучко О.","2-15"
"ПН","15:00-16:20","1-307","Мови програмування","6","Вовк Н.","2-15"
"ПН","16:30-17:50","1-306","Мови програмування","1","Бучко О.","3"
"ПН","16:30-17:50","1-307","Мови програмування","4","Вовк Н.","3"
"ВТ","08:30-09:50","КМЦ","Застосування принципів Болонського процесу","","Брюховецький В. С.","1"
"ВТ","08:30-09:50","Спортзал","Фізичне виховання","39","Збанацький С.","2-15"
"ВТ","08:30-09:50","Спортзал","Фізичне виховання","40","Козубей П.","2-15"
"ВТ","08:30-09:50","Спортзал","Фізичне виховання","43","Горборуков В.","2-15"
"ВТ","10:00-11:20","КМЦ","Застосування принципів Болонського процесу","","Брюховецький В. С.","1"
"ВТ","10:00-11:20","Спортзал","Фізичне виховання","42","Горборуков В.","2-15"
"ВТ","10:00-11:20","Спортзал","Фізичне виховання","17","Козубей П.","2-15"
"ВТ","10:00-11:20","Спортзал","Фізичне виховання","11","Максименко В.","2-15"
"ВТ","10:00-11:20","Спортзал","Фізичне виховання","41","Моргун З.","2-15"
"ВТ","11:40-13:00","1-225","","","Захарійченко Ю.","2-15"
"ВТ","13:30-14:50","1-225","Основи матаналізу Болонського процесу в","1","Захарійченко Ю.","1-15"
"ВТ","13:30-14:50","3-302","Основи матаналізу Болонського процесу в","2","Митник Ю.","1-15"
"ВТ","15:00-16:20","1-313","Фізичне виховання (загальна лекція)","","Козубей П.","1"
"ВТ","15:00-16:20","1-313","","","Захарійченко Ю.","2"
"СР","08:30-09:50","1-313","","","Матичин І.","1-15"
"СР","10:00-11:20","3-302","Основи дискретної математики НаУКМА","1","Матичин І.","1-15"
"СР","11:40-13:00","3-220а","Основи дискретної математики НаУКМА","3","Матичин І.","1-15"
"СР","11:40-13:00","1-306","Мови програмування","1","Бучко О.","1-15"
"СР","11:40-13:00","1-307","Мови програмування","4","Вовк Н.","1-15"
"СР","13:30-14:50","1-306","Мови програмування","2","Бучко О.","1-15"
"СР","13:30-14:50","1-307","Мови програмування","5","Вовк Н.","1-15"
"СР","13:30-14:50","1-309","Програмна інженерія","1","Проценко В.","1-14"
"СР","13:30-14:50","1-307","Програмна інженерія","4","Сініцина Р.","1-14"
"СР","15:00-16:20","1-306","Мови програмування","3","Бучко О.","1-15"
"СР","15:00-16:20","1-307","Мови програмування","6","Вовк Н.","1-15"
"СР","15:00-16:20","1-309","Програмна інженерія","2","Проценко В.","1-14"
"СР","15:00-16:20","1-307","Програмна інженерія","5","Сініцина Р.","1-14"
"СР","16:30-17:50","1-309","Програмна інженерія","3","Проценко В.","1-14"
"СР","16:30-17:50","1-307","Програмна інженерія","6","Сініцина Р.","1-14"
"ЧТ","08:30-09:50","1-223","Комп’ютерні мережі","","Дорош О.","1-7"
"ЧТ","10:00-11:20","Спортзал","Фізичне виховання","39","Збанацький С.","2-15"
"ЧТ","10:00-11:20","Спортзал","Фізичне виховання","17","Козубей П.","2-15"
"ЧТ","10:00-11:20","Спортзал","Фізичне виховання","40","Козубей П.","2-15"
"ЧТ","10:00-11:20","Спортзал","Фізичне виховання","43","Горборуков В.","2-15"
"ЧТ","10:00-11:20","Спортзал","Фізичне виховання","42","Горборуков В.","2-15"
"ЧТ","10:00-11:20","Спортзал","Фізичне виховання","11","Максименко В.","2-15"
"ЧТ","10:00-11:20","Спортзал","Фізичне виховання","41","Моргун З.","2-15"
"ПТ","08:30-09:50","1-313","","","Кадочнікова О.","1-3"
"ПТ","08:30-09:50","1-313","Мови програмування","","Ковальський І.","4"
"ПТ","10:00-11:20","3-408","","","Соломашенко Н.","2-14"
"ПТ","10:00-11:20","6-3","","","Буреніна Т.","2-14"
"ПТ","10:00-11:20","3-309","","","Сорокіна Т.","2-14"
"ПТ","11:40-13:00","3-220а","Українська мова ЗПБП - Застосування принципів","1","Кадочнікова О.","3-14"
"ПТ","13:30-14:50","3-220а","Українська мова ЗПБП - Застосування принципів","2","Кадочнікова О.","3-14"
"ПТ","15:00-16:20","3-220а","Українська мова ЗПБП - Застосування принципів","3","Кадочнікова О.","3-14"
"СБ","08:30-09:50","КМЦ","Застосування принципів Болонського процесу","","Ярошенко Т. О.","1"
"СБ","08:30-09:50","КМЦ","Застосування принципів Болонського процесу","","Брюховецький В. С.","12"
"СБ","10:00-11:20","КМЦ","Застосування принципів Болонського процесу","","Корольова О. О.","1"
"СБ","11:40-13:00","КМЦ","Застосування принципів Болонського процесу","","Корольова О. О.","1"
"СБ","13:30-14:50","КМЦ","Застосування принципів Болонського процесу","","Глигало Ю.В.","1"
